                            
                            
                            
                            
                     +###   
                   ++####   
                 ++######   
               ++###+++++   
              +###++   #+   
             +###+    +#+   
            +###+     ++    
          ++###+     +#     
         +##++#      ++     
        +##+ ++     +#+     
       +##+         ++      
      +##+         +#+      
      ##+         +##       
     +#+         +##+       
     ##        ++#++        
     #+      ++##++         
     #+  ++++###+           
     #########++            
     #######++              
     +###+++                
                            
                            
                            
                            
