                            
                            
                            
                            
             ++#++    ++    
           +##++++   +#+    
         +###+       +#+    
        +##++         +#    
        ##+           +#+   
       +##            +#+   
      +##+            +#+   
      +#+             +#+   
     +##+             +#    
     +#+              +#    
     +#+             +##    
     +#+             +#+    
     +#+             #+     
     +#+           +##+     
     +#+          +##+      
      ##+        +##+       
      +#+       +##+        
      +##+   ++###+         
       +###++###+           
        ++###++             
                            
                            
                            
                            
