                            
                            
                            
                            
                            
                    ++      
                   +###+    
              ++########+   
            +++#########+   
          +##############   
         +######++   +###   
        +######+     +##+   
        #####++     +###+   
       +####+      +####+   
      +####+       +##++    
      +####      +####      
     +####+     ++###+      
     ####+     +####+       
     ###+    ++####+        
     ###+   +#####+         
     ####+++#####++         
     ###########+           
     +++++++++++            
                            
                            
                            
                            
                            
