                            
                            
         +#+                
         +##                
         +##+               
          ##+               
       +++###+              
         +###+              
         +###               
         +##+ +++++         
         ###+#######+  +    
        +############+ #    
        +#####++  +###+#    
       +#####+     +##+#    
       +#####+     +##++    
       +#####+     +##+     
       +######+     ##+     
       +######+    +##++    
       +######+   +### #    
        +#####++++###  #    
         +##########   +    
          ++#####++         
                            
                            
                            
                            
                            
                            
