                            
                            
                            
                            
            ++###+          
          ++#####+          
         +#######++         
        +##########+        
       +#####+++####+       
       ###+     ++###       
      +###+       +##+      
      +##+         +##+     
     +###          +###     
     +##+           +##+    
     +##+            +##    
     +##             +##    
     +##             +##+   
     +##+            +##+   
     +##+            +##+   
     +###+          +###    
      +###+        +###     
      +####+      +###+     
       ++####+ ++###++      
         +#########+        
                            
                            
                            
                            
