                            
                            
                            
                +#+         
               +##+         
               +#+          
              +##           
             +##            
             ##   ++        
             #+  +##+       
            +#+   +#+       
           +#++   +#+       
           +#     +#+       
          +##     +#+       
          +#+     +#        
         +#+     +#+        
         +#+     ##+        
         ##     +#++        
         ##     +#+         
         ##   ++##          
         ##+++###+          
         ######++           
         ++###++            
                            
                            
                            
                            
                            
